Username,Rank,Played,Victories,WinPercentage,Deaths,Blocks Destroyed,Powerups Collected,Vaults Used,BlocksPerGame,PowerupsPerGame,VaultsPerGame
BiennialTick820,45,110,38,0.35,70,"79,832",119,198,725.7454545,1.081818182,1.8
Tommyllosch3,46,87,37,0.43,43,"59,692",247,127,686.1149425,2.83908046,1.459770115
Spiropapa18,47,110,37,0.34,71,"67,187",414,333,610.7909091,3.763636364,3.027272727
JazzClub1959,48,76,37,0.49,38,"58,390",175,174,768.2894737,2.302631579,2.289473684
Liverpoolcap408,49,64,36,0.56,27,"45,454",179,136,710.21875,2.796875,2.125
DarthAvion20,50,105,36,0.34,66,"51,158",178,48,487.2190476,1.695238095,0.4571428571
CivilSatyr51424,51,69,36,0.52,30,"64,425",51,26,933.6956522,0.7391304348,0.3768115942
Yeeter3199,52,56,35,0.63,17,"36,802",189,63,657.1785714,3.375,1.125
etanology,53,54,35,0.65,19,"51,098",229,69,946.2592593,4.240740741,1.277777778
PrinceBoston23,54,109,35,0.32,71,"74,005",287,195,678.9449541,2.633027523,1.788990826
Entity70456450,55,93,34,0.37,57,"72,966",213,140,784.5806452,2.290322581,1.505376344
Dankcookies12,56,68,34,0.50,30,"62,975",451,91,926.1029412,6.632352941,1.338235294
OwnMars3639,57,68,34,0.50,33,"60,496",205,138,889.6470588,3.014705882,2.029411765
AresDuke74,58,131,33,0.25,94,"100,505",475,330,767.2137405,3.625954198,2.519083969
vHylia,59,53,33,0.62,20,"56,086",189,74,1058.226415,3.566037736,1.396226415
Daisythefox5624,60,111,33,0.30,65,"84,383",414,229,760.2072072,3.72972973,2.063063063
Lightning6981,61,82,33,0.40,47,"56,724",245,219,691.7560976,2.987804878,2.670731707
Sammzyyy2470,62,64,32,0.50,32,"57,616",192,122,900.25,3,1.90625
boxygg,63,67,31,0.46,31,"46,436",152,55,693.0746269,2.268656716,0.8208955224
PokyMarmot4511,64,84,31,0.37,46,"49,126",199,176,584.8333333,2.369047619,2.095238095
NunyaBis11,65,102,31,0.30,65,"69,391",242,304,680.3039216,2.37254902,2.980392157
nt0SKRNL,66,33,30,0.91,3,"27,412",112,28,830.6666667,3.393939394,0.8484848485
UnicornAteMe,67,197,30,0.15,166,"114,974",382,422,583.6243655,1.939086294,2.14213198
SONdaeMC,68,58,30,0.52,24,"52,218",194,124,900.3103448,3.344827586,2.137931034
RoM4IkGaMinG,69,60,29,0.48,31,"43,960",186,160,732.6666667,3.1,2.666666667
Sare94,70,120,29,0.24,90,"61,948",264,300,516.2333333,2.2,2.5
Dihmolished,71,32,29,0.91,2,"28,650",171,35,895.3125,5.34375,1.09375
SoughtBook46787,72,83,29,0.35,50,"60,979",159,123,734.686747,1.915662651,1.481927711
SpideyJonah,73,58,29,0.50,29,"44,730",76,6,771.2068966,1.310344828,0.1034482759
AvalineO,74,51,28,0.55,22,"27,778",129,53,544.6666667,2.529411765,1.039215686
Light81227,75,57,28,0.49,28,"40,993",131,77,719.1754386,2.298245614,1.350877193
Rodawg4978,76,38,27,0.71,10,"35,325",128,32,929.6052632,3.368421053,0.8421052632
oDefecttYT44,77,149,27,0.18,113,"87,852",415,231,589.6107383,2.785234899,1.55033557
yashirin3826,78,46,27,0.59,19,"35,571",192,89,773.2826087,4.173913043,1.934782609
ThornyPotato138,79,58,27,0.47,31,"37,586",134,57,648.0344828,2.310344828,0.9827586207
skinskin0329sur,80,94,27,0.29,66,"59,968",166,191,637.9574468,1.765957447,2.031914894
Ginardo 7166,81,80,27,0.34,51,"51,737",209,120,646.7125,2.6125,1.5
Ghiles23,82,73,26,0.36,43,"55,637",200,160,762.1506849,2.739726027,2.191780822
raiyonxgamer,83,77,26,0.34,47,"58,896",214,192,764.8831169,2.779220779,2.493506494
staystaystay756,84,119,26,0.22,92,"83,521",182,205,701.8571429,1.529411765,1.722689076
CheeseIsGud7319,85,54,26,0.48,27,"43,859",150,69,812.2037037,2.777777778,1.277777778
Sumit6499,86,77,26,0.34,47,"47,685",140,94,619.2857143,1.818181818,1.220779221
Arteleha,87,82,25,0.30,54,"67,325",120,109,821.0365854,1.463414634,1.329268293
Vaghalla,88,32,25,0.78,5,"26,284",87,50,821.375,2.71875,1.5625
Loopmoo,89,37,25,0.68,11,"23,763",94,59,642.2432432,2.540540541,1.594594595
Lord Pandow,90,39,25,0.64,14,"29,416",112,44,754.2564103,2.871794872,1.128205128
Shadowraze5151,91,100,25,0.25,74,"65,172",227,241,651.72,2.27,2.41
FluffyColt54366,92,92,25,0.27,67,"67,710",334,277,735.9782609,3.630434783,3.010869565
Donald duck8307,93,64,24,0.38,35,"42,294",120,118,660.84375,1.875,1.84375
AmazedDay132581,94,61,24,0.39,36,"49,352",167,64,809.0491803,2.737704918,1.049180328
DarkSky3713,95,105,24,0.23,80,"65,489",221,254,623.7047619,2.104761905,2.419047619
someone31415926,96,33,23,0.70,10,"33,193",100,28,1005.848485,3.03030303,0.8484848485
kurisuke11,97,76,23,0.30,42,"43,043",185,19,566.3552632,2.434210526,0.25
yosefchang5,98,43,23,0.53,20,"29,505",77,4,686.1627907,1.790697674,0.09302325581
SavageTrex706,99,73,23,0.32,50,"57,301",154,217,784.9452055,2.109589041,2.97260274
Pebble8491,100,70,22,0.31,43,"44,595",159,207,637.0714286,2.271428571,2.957142857
nt0SKRNL,1,840,777,0.93,58,"679,406","2,759",570,808.8166667,3.28452381,0.6785714286
S04ky,2,640,634,0.99,6,"465,194","2,766",257,726.865625,4.321875,0.4015625
SmartKid2010637,3,775,456,0.59,292,"676,713","3,014","1,082",873.1780645,3.889032258,1.396129032
Rerreee8742,4,591,439,0.74,94,"450,887","2,541",461,762.9221658,4.299492386,0.7800338409
Tahriq16YT,5,363,336,0.93,26,"250,419","1,692",624,689.8595041,4.661157025,1.719008264
Lee1387,6,346,335,0.97,9,"265,771","1,549",125,768.1242775,4.476878613,0.3612716763
Plane2020,7,532,303,0.57,214,"452,441","1,579",668,850.4530075,2.968045113,1.255639098
Artem6365,8,427,302,0.71,124,"366,076","2,530",844,857.3208431,5.925058548,1.976580796
Yuzuriha851310,9,366,294,0.80,70,"293,130","1,878",641,800.9016393,5.131147541,1.75136612
Pengubaguette,10,356,251,0.71,96,"329,590","1,261",130,925.8146067,3.542134831,0.3651685393
TakeoutCrib7553,11,465,246,0.53,211,"363,227","1,442",778,781.1333333,3.101075269,1.67311828
vviniuu,12,232,214,0.92,16,"231,094","1,163",108,996.0948276,5.012931034,0.4655172414
OutragedRelic22,13,294,200,0.68,88,"211,367",965,319,718.9353741,3.282312925,1.085034014
Samcraft42,14,206,197,0.96,6,"162,870",868,205,790.631068,4.213592233,0.9951456311
CroakyPenguin93,15,363,194,0.53,147,"276,847",955,407,762.6639118,2.630853994,1.121212121
TYzxinmar,16,216,181,0.84,35,"214,102","1,026",150,991.212963,4.75,0.6944444444
RedFoxNinja90,17,189,168,0.89,18,"159,114",996,81,841.8730159,5.26984127,0.4285714286
K4NEK1LLEN417,18,247,151,0.61,95,"232,331",942,435,940.611336,3.813765182,1.761133603
hearts820725,19,178,149,0.84,29,"165,206",863,149,928.1235955,4.848314607,0.8370786517
REA1204,20,172,141,0.82,27,"183,629","1,067",147,1067.610465,6.203488372,0.8546511628
Speedquokka,21,162,138,0.85,24,"146,665",813,279,905.3395062,5.018518519,1.722222222
DarkKillers88,22,151,132,0.87,18,"137,905",659,130,913.2781457,4.364238411,0.8609271523
xsenexz2448,23,169,125,0.74,35,"163,942",671,185,970.0710059,3.970414201,1.094674556
iyanatari,24,262,123,0.47,118,"201,090",898,532,767.519084,3.427480916,2.030534351
AmonHive,25,128,122,0.95,5,"96,517",573,58,754.0390625,4.4765625,0.453125
lolbit mk,26,171,121,0.71,49,"146,776",785,299,858.3391813,4.590643275,1.748538012
devluq,27,118,117,0.99,1,"93,806",563,46,794.9661017,4.771186441,0.3898305085
MilkIsTight,28,263,114,0.43,144,"199,223",831,291,757.5019011,3.159695817,1.106463878
Yeeter3199,29,161,113,0.70,47,"118,061",674,179,733.2981366,4.186335404,1.111801242
UneditedManny,30,187,111,0.59,72,"131,778",512,168,704.6951872,2.737967914,0.8983957219
TypedRain178228,31,349,110,0.32,232,"273,873",572,"1,092",784.7363897,1.638968481,3.128939828
SkippingGull11,32,223,110,0.49,113,"198,010",662,364,887.9372197,2.968609865,1.632286996
Axolot13431,33,435,109,0.25,316,"356,919",806,31,820.5034483,1.852873563,0.07126436782
Arteleha,34,328,106,0.32,197,"262,975",484,360,801.7530488,1.475609756,1.097560976
VultureX55,35,197,106,0.54,89,"162,009",420,326,822.3807107,2.131979695,1.654822335
Katch 22,36,163,106,0.65,53,"138,829",572,205,851.7116564,3.509202454,1.257668712
Realberryman,37,152,104,0.68,46,"142,537",484,287,937.7434211,3.184210526,1.888157895
soccerdude20095,38,202,102,0.50,90,"186,018",497,179,920.8811881,2.46039604,0.8861386139
HEROBRINEI4838,39,195,101,0.52,88,"176,786",689,268,906.5948718,3.533333333,1.374358974
zZolb,40,109,100,0.92,6,"104,692",460,99,960.4770642,4.220183486,0.9082568807
qDzrk,41,106,100,0.94,6,"85,183",440,73,803.6132075,4.150943396,0.6886792453
owenzommer,42,185,98,0.53,87,"198,824",472,95,1074.724324,2.551351351,0.5135135135
BusiestTitan386,43,238,97,0.41,130,"206,308",639,169,866.8403361,2.68487395,0.7100840336
FawnLettuce2593,44,273,96,0.35,174,"244,354",456,593,895.0695971,1.67032967,2.172161172
qDirtGirl,45,149,94,0.63,53,"120,859",414,188,811.1342282,2.77852349,1.261744966
Awfoxxx,46,243,94,0.39,128,"139,778",752,219,575.218107,3.094650206,0.9012345679
